element	frame	el_class	el_family
L1MA9_5	L1MA9_5:1525:1072,L1MA9_5:1029:1962,L1MA9_5:1646:1484	LINE	L1
Charlie12	Charlie12:1268:1361,Charlie12:2701:2872,Charlie12:2545:2695	DNA	hAT-Charlie
LTR13	LTR13:780:648	LTR	ERVK
TIGGER2	TIGGER2:1891:1747,TIGGER2:602:2483	DNA	TcMar-Tigger
MER83BI	MER83BI:999:1341,MER83BI:4848:4617,MER83BI:3609:3873	LTR	ERV1
MER41I	MER41I:3300:3078,MER41I:1429:1573	LTR	ERV1
MER4I	MER4I:5187:5253,MER4I:6225:6324,MER4I:368:404,MER4I:3919:4021	LTR	ERV1
L1MA1	L1MA1:93:3	LINE	L1
HERVS71	HERVS71:4518:7053,HERVS71:6292:6214,HERVS71:3993:3768,HERVS71:2055:1980,HERVS71:190:25	LTR	ERV1
AluMacYb4	AluMacYb4:181:271	SINE	Alu
MER39B	MER39B:342:411	LTR	ERV1
LTR84a	LTR84a:731:587	LTR	ERVL
L1MA10	L1MA10:595:490	LINE	L1
HERV15I	HERV15I:15:303,HERV15I:6131:5909,HERV15I:5418:5709,HERV15I:5591:5483	LTR	ERV1
LTR9	LTR9:98:29	LTR	ERV1
MER68_I	MER68_I:1958:1427	LTR	ERVL
AluSq10	AluSq10:244:172	SINE	Alu
6kbHsap	6kbHsap:278:233	Satellite	acro
L1MEB_5	L1MEB_5:426:246	LINE	L1
MER51I	MER51I:403:517,MER51I:1367:1421	LTR	ERV1
L1MEe_5end	L1MEe_5end:637:784	LINE	L1
L1MDB_5	L1MDB_5:1388:1289	LINE	L1
HERV38I	HERV38I:1454:1583	LTR	ERV1
LTR50	LTR50:245:128	LTR	ERVL
LTR1D1	LTR1D1:184:1	LTR	ERV1
LTR53-int	LTR53-int:379:1,LTR53-int:1618:1720	LTR	ERVL
ERV24B_Prim	ERV24B_Prim:3637:3430,ERV24B_Prim:893:2231	LTR	ERV1
CHARLIE6	CHARLIE6:1568:1367,CHARLIE6:624:2493,CHARLIE6:1229:1097,CHARLIE6:3331:3169	DNA	hAT-Charlie
MLT1H_I	MLT1H_I:783:645	LTR	ERVL-MaLR
L1M2C_5	L1M2C_5:1480:1600,L1M2C_5:2620:2575,L1M2C_5:3505:3631	LINE	L1
LTR41B	LTR41B:351:510	LTR	ERVL
LTR6B	LTR6B:4:94,LTR6B:193:256	LTR	ERV1
LTR14B	LTR14B:492:420	LTR	ERVK
CHARLIE1	CHARLIE1:2098:1951,CHARLIE1:2475:2151	DNA	hAT-Charlie
CHARLIE2A	CHARLIE2A:822:774,CHARLIE2A:1584:2244	DNA	hAT-Charlie
ERVL47	ERVL47:5015:5213,ERVL47:4047:3756	LTR	ERV3
MER68B	MER68B:308:17	LTR	ERVL
MLT1C	MLT1C:153:399	LTR	ERVL-MaLR
THE1C	THE1C:121:1,THE1C:250:286	LTR	ERVL-MaLR
CHARLIE7	CHARLIE7:1908:1743,CHARLIE7:688:2344	DNA	hAT-Charlie
L1MA5	L1MA5:595:490,L1MA5:1009:796	LINE	L1
THE1D	THE1D:289:355,THE1D:257:326	LTR	ERVL-MaLR
LTR87	LTR87:364:136	LTR	ERVL_like
AluJb	AluJb:98:134	SINE	Alu
L1M3C_5	L1M3C_5:1237:1189,L1M3C_5:227:11	LINE	L1
Tigger16a	Tigger16a:431:713	DNA	TcMar-Tigger
MER4BI	MER4BI:3576:3417	LTR	ERV1
HERVL_40	HERVL_40:3929:3854,HERVL_40:4232:4139	LTR	ERVL
Charlie25	Charlie25:383:2363,Charlie25:1641:1728	DNA	hAT-Charlie
MER44C	MER44C:344:392,MER44C:319:496	DNA	TcMar-Tigger
X27_DNA	X27_DNA:193:88,X27_DNA:203:95	DNA	DNA
LTR81B	LTR81B:1160:929,LTR81B:886:1153	LTR	Gypsy
MER63C	MER63C:630:372	DNA	hAT-Tip100
Charlie17a	Charlie17a:27:129	DNA	hAT-Charlie
MamRep38	MamRep38:73:1	DNA	hAT-Tip100
ALINE	ALINE:319:394	LINE	RTE
Eutr16	Eutr16:486:549	Eutr	Eutr
ZOMBI	ZOMBI:2283:2325,ZOMBI:2497:2647	DNA	TcMar-Mariner
LTR104_Mam	LTR104_Mam:390:888	LTR	Gypsy
UCON32	UCON32:102:27	Unknown	Unknown
LTR45	LTR45:474:366	LTR	ERV1
L1MD1	L1MD1:353:197	LINE	L1
L1PB3	L1PB3:687:879	LINE	L1
Helitron3Na_Mam	Helitron3Na_Mam:251:356	RC	Helitron
L1P_MA2	L1P_MA2:216:75,L1P_MA2:7168:6700	LINE	L1
AluYb8	AluYb8:62:92	SINE	Alu
L1P4d_5end	L1P4d_5end:1932:1848	LINE	L1
LTR7A	LTR7A:101:146	LTR	ERV1
L1ME3E_3end	L1ME3E_3end:594:447	LINE	L1
L1ME_ORF2	L1ME_ORF2:1279:2287,L1ME_ORF2:3266:2846,L1ME_ORF2:2407:2281	LINE	L1
MER52B	MER52B:1242:1338	LTR	ERV1
LTR2C	LTR2C:248:125	LTR	ERV1
LTR19C	LTR19C:497:671	LTR	ERV1
LTR12B	LTR12B:122:167,LTR12B:573:342,LTR12B:616:445	LTR	ERV1
MER4E1	MER4E1:657:582	LTR	ERV1
LTR9C	LTR9C:382:571	LTR	ERV1
L1MC3	L1MC3:158:2,L1MC3:595:463	LINE	L1
LTR86A2	LTR86A2:363:429	LTR	ERVL
MLT1_I	MLT1_I:47:1151	LTR	ERVL-MaLR
L1PA7_5	L1PA7_5:109:1	LINE	L1
MER69C	MER69C:1602:2142	DNA	hAT
MER31A	MER31A:269:425	LTR	ERV1
MER57E1	MER57E1:165:195,MER57E1:256:346	LTR	ERV1
LTR13A	LTR13A:246:195	LTR	ERVK
MamRep1527	MamRep1527:440:26	LTR	LTR
ERVL	ERVL:2243:3779,ERVL:3883:3688,ERVL:3468:3702	LTR	ERVL
L1ME3C_3end	L1ME3C_3end:203:2	LINE	L1
LTR16A	LTR16A:10:283	LTR	ERVL
LTR86B1	LTR86B1:224:89	LTR	ERVL
LTR45B	LTR45B:72:30	LTR	ERV1
MamGypLTR2	MamGypLTR2:828:717	LTR	Gypsy
L1MA7	L1MA7:824:878	LINE	L1
MamGypLTR1a	MamGypLTR1a:505:553	LTR	Gypsy
MER50B	MER50B:362:518	LTR	ERV1
AluYi6	AluYi6:146:182	SINE	Alu
LTR47B3	LTR47B3:262:463	LTR	ERVL
LTR39	LTR39:55:109	LTR	ERV1
LTR1A1	LTR1A1:382:1	LTR	ERV1
LTR2B	LTR2B:190:355	LTR	ERV1
MIRc	MIRc:136:106	SINE	MIR
MLT2A1	MLT2A1:253:364	LTR	ERVL
MER9	MER9:81:207	LTR	ERVK
LTR16D1	LTR16D1:239:368	LTR	ERVL
MER34C2	MER34C2:289:211	LTR	ERV1
MER110I	MER110I:1235:1124	LTR	ERV1
GOLEM	GOLEM:2003:1604,GOLEM:462:2304	DNA	TcMar-Mariner
LTR85a	LTR85a:128:29	LTR	Gypsy_like
Ricksha_a	Ricksha_a:868:979	DNA	MULE-MuDR
LTR70	LTR70:754:1012,LTR70:496:685	LTR	ERV1
CHARLIE9	CHARLIE9:2239:1669,CHARLIE9:568:535	DNA	hAT-Charlie
MSTA	MSTA:268:373	LTR	ERVL-MaLR
HERV18	HERV18:1823:3512,HERV18:3968:3725	LTR	ERV1
MER30B	MER30B:169:1	DNA	hAT-Charlie
MER11C	MER11C:705:822	LTR	ERVK
THER1	THER1:139:109	SINE	MIR
Charlie13a	Charlie13a:168:1032	DNA	hAT-Charlie
L1MB2	L1MB2:137:206	LINE	L1
L1ME4A	L1ME4A:774:834	LINE	L1
MER44B	MER44B:318:360	DNA	TcMar-Tigger
MER113	MER113:325:373	DNA	hAT-Charlie
X20_LINE	X20_LINE:146:2	LINE	CR1
Eutr10	Eutr10:341:689	Eutr	Eutr
MARE1	MARE1:437:731	DNA	TcMar-Mariner
MER51B	MER51B:201:366	LTR	ERV1
LTR85b	LTR85b:646:385	LTR	Gypsy_like
L1ME3A	L1ME3A:701:743	LINE	L1
LTR1B1	LTR1B1:440:92	LTR	ERV1
EUTREP7	EUTREP7:347:206	Eutr	Eutr
MIR	MIR:132:102	SINE	MIR
LTR8A	LTR8A:476:380	LTR	ERV1
L1M2A1_5	L1M2A1_5:1030:526,L1M2A1_5:517:97	LINE	L1
LTR27E	LTR27E:398:347	LTR	ERV1
LTR1	LTR1:384:54	LTR	ERV1
LOR1I	LOR1I:520:613,LOR1I:2175:2079,LOR1I:555:777	LTR	ERV1
LTR47B4	LTR47B4:94:130	LTR	ERVL
MLT1F_I	MLT1F_I:18:354	LTR	ERVL-MaLR
MER119	MER119:184:346	DNA	hAT-Charlie
MER101B	MER101B:31:406	LTR	ERV1
ORSL	ORSL:166:136	DNA	hAT-Tip100
UCON76	UCON76:131:2	Unknown	Unknown
MER34B_I	MER34B_I:1469:1538	LTR	ERV1
MIRb	MIRb:139:109	SINE	MIR
LTR14A	LTR14A:235:286	LTR	ERVK
LTR27B	LTR27B:540:414	LTR	ERV1
L1M3DE_5	L1M3DE_5:1561:2083	LINE	L1
LTR75B	LTR75B:504:345	LTR	ERVL
MER89I	MER89I:5291:5426	LTR	ERV1
L1MED_5	L1MED_5:939:789	LINE	L1
X2_LR	X2_LR:18:177	LTR	LTR
CHARLIE10	CHARLIE10:339:264	DNA	hAT-Charlie
L1MA6	L1MA6:595:490	LINE	L1
L1PBA_5	L1PBA_5:251:101,L1PBA_5:2386:2260	LINE	L1
LTR10B	LTR10B:510:306	LTR	ERV1
MER69B	MER69B:613:679	DNA	hAT
L1MC4_5end	L1MC4_5end:2438:2315	LINE	L1
MER88	MER88:303:414	LTR	ERVL
L1MB7	L1MB7:415:340	LINE	L1
MER74	MER74:511:622	LTR	ERVL
MER28	MER28:19:199	DNA	DNA
MER65D	MER65D:193:277	LTR	ERV1
